requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
27,537.3298519,1,14.44726563,17.44444444,0.925925926,4,18,0
5,0.0312,1,126.1345703,29.2,1,1,5,0
60,386.5692167,1,17.34611003,89.45,1,1,59,0
42,254.5929762,1,18.03297061,33.47619048,0.976190476,3,24,0
2,15201.067,1,10.734375,3.5,1,1,1,0
233,42.66860515,1,3.827249028,14.50643777,0.995708155,3,122,0
2,2313.4145,1,0,3,1,2,2,0
7,5156.879429,0.857142857,2614.756975,384.4285714,0.142857143,2,7,0
70,1.707057143,1,14.73359375,131.6428571,1,2,68,0
1,0,1,0,6,1,1,1,0
10,3.9993,1,26.70048828,42.9,0.9,2,9,0
123,325.8303415,1,14.49691152,51.48780488,1,3,68,0
69,3.074826087,1,10.62164572,13.76811594,1,2,68,0
9,0.131222222,1,29.6672092,28.55555556,0.888888889,1,9,0
1,0,1,270.1972656,401,1,1,1,0
5,3934.582,1,0,3.2,1,2,5,0
36,4.830222222,1,49.24861654,119.5555556,0.972222222,1,36,0
62,1.097693548,1,13.32664441,51.0483871,1,2,61,0
1,0,1,0,4,1,1,1,0
152,72.64857237,1,10.25826223,20.5,0.993421053,2,73,0
971,11.05523931,0.223546631,877.2772862,774.2099006,0.084614475,1,953,1
1620,29.38787675,0.126504337,722.7085991,2728.864751,0.573408376,7,617,1
6,0.053166667,1,44.1858724,62.33333333,0.5,1,6,0
1,0,1,0,2,1,1,1,0
15,0.278066667,1,107.3789714,82.6,1,1,15,0
7,1.675714286,1,82.72530692,2808,0.857142857,1,7,0
14,0.615214286,1,163.3071289,382.6428571,1,1,14,0
1,0,1,421.234375,18,1,1,1,0
23,1086.862652,1,27.80073879,32.30434783,1,2,22,0
1,0,1,0,5,1,1,1,0
146,144.105411,1,24.02842733,52.32191781,1,3,56,0
2,41.9435,1,782.0649414,1341,1,1,2,0
25,33.23844,1,32.39304688,85.12,0.92,4,20,0
30,7.6197,1,33.3680013,208.9333333,1,3,30,0
259,60.47435907,0.998069498,142.9294047,22.95752896,0.980694981,5,195,0
1,0,1,0,66,1,1,1,0
34,7.2585,0.558823529,1433.483456,2194.588235,1,3,34,0
1531,28.31026812,0.300291167,931.0437888,1584.351462,0.376822516,7,732,1
9,0.317222222,1,29.6672092,72,0.888888889,1,9,0
14,0.778142857,1,44.10016741,40.35714286,1,1,14,0
22,596.3529545,1,24.27317116,56.40909091,0.909090909,4,9,0
1,0,1,0,2,1,1,1,0
7,0.023857143,1,37.94517299,43.28571429,0.857142857,1,7,0
1,0,1,292.5332031,410,1,1,1,0
5685,13.22361297,0.801760888,10.23505791,54.78301361,0.079564597,13,4090,1
359,23.12282173,0.896935933,492.8113194,1370.573816,0.955431755,3,274,0
194,2.912649485,1,929.1018494,294.0154639,0.984536082,5,172,0
201,17.25852736,0.97761194,63.63726776,885.681592,0.995024876,5,115,0
53,40.02879245,1,143.0959058,329.4150943,0.867924528,5,38,0
1,0,1,0,4,1,1,1,0
5,2.267,1,1316.771094,1378.6,1,3,5,0
1,0,1,137.6005859,2079,1,1,1,0
9,0.411777778,1,29.6672092,428.1111111,0.888888889,1,9,0
17,986.7268235,1,15.70616958,261.5294118,0.941176471,2,9,0
3,0.898,1,406.2932943,1043.666667,1,1,3,0
1,0,1,0,5,1,1,1,0
74,1.293783784,1,11.54618877,83.31081081,1,2,73,0
5,710.0704,1,47.74101563,194.2,1,2,5,0
6,0.099666667,1,42.59440104,66.83333333,0.833333333,1,6,0
109,84.89101835,1,516.4693592,411.2752294,1,5,82,0
14,0.199071429,1,114.9511021,128.4285714,1,2,14,0
37,1.849135135,1,20.91028822,17.97297297,1,1,37,0
12874,5.84068276,0.557123718,0.539074314,111.035914,0.038288759,9,12766,1
1,0,1,21.46875,4,1,1,1,0
44,16.48756818,0.988636364,712.0086559,475.5909091,0.977272727,3,36,0
1,0,1,0.73046875,43,0,1,1,0
27,13.80903704,1,240.3075087,933.7037037,0.962962963,1,25,0
14,9.013,1,24.98367746,8.428571429,1,3,9,0
7,5884.464429,1,13.73353795,10.14285714,1,2,6,0
1,0,0.5,95.8515625,5027,0,1,1,0
1,0,1,0,2,1,1,1,0
8,7002.821375,1,5.188720703,30.875,1,4,6,0
9,0.163444444,1,29.6672092,61.33333333,0.888888889,1,9,0
19,606.2981579,1,30.1561986,129.6315789,0.947368421,3,15,0
185,107.6255243,1,47.7186761,102.2108108,0.994594595,3,104,0
28,0.700285714,1,23.47342355,461.5357143,0.964285714,3,28,0
2,6676.645,1,0,3,1,2,1,0
12,966.9476667,1,21.70572917,115.5833333,1,2,9,0
1,0,1,0,3,1,1,1,0
1,0,1,0,2,1,1,1,0
54,19.27027778,1,57.28880932,185.462963,0.944444444,3,50,0
1,0,1,292.5332031,8340,1,1,1,0
1,0,1,400.2871094,257,1,1,1,0
14,3.936642857,1,44.08579799,10.35714286,1,2,14,0
2,35890.868,1,0,2.5,1,1,1,0
21,776.6554286,1,22.73381696,159.8095238,1,3,8,0
